平台,内容载体,画面比例 & 分辨率,时长 / 图片数量限制,文件大小上限,封面要求,文案 / 标题字数,标签 Hashtag 规则,字幕规范,平台专属制作要点 & 合规
TikTok（海外短视频）,短视频（主推）,9:16 1080×1920px仅支持竖屏,最短 5s，最长 10min流量最优：15–60s,4GB,1080×1920，上下 15% 留白不写字；单独做封面图，不截取视频帧,正文上限 3000 字符；前 150 字符抓眼球,5–8 个精准标签，总数≤10；禁止无关热门蹭 tag,强制内嵌硬字幕；AI 生成内容必须勾选 AIGC 标识,1. 无版权 BGM 会限流2. 封面文字简洁，不堆砌3. 不能直接放站外链接，仅主页可挂4. 禁止过度医美、瘦身夸大话术
,图文帖,1:1 1080×1080,单篇最多 9 张,单图 20MB,同视频封面比例,同上,同上,无需字幕,图文适合产品静态展示，不做长图文
YouTube（长视频）,主视频,16:9 1920×1080（最低 1280×720）,无硬性上限；短视频 Shorts≤60s常规科普 / 测评 5–20min,128GB,缩略图 1280×720（16:9），≤2MB；重点主体居中，文字不超 3 行,标题≤100 字符；简介 5000 字符（前 120 字符预览可见）,视频内标签 5–8 个；简介可埋关键词,必须上传 SRT 字幕文件，无字幕影响推荐,1. 频道封面 2560×1440（16:9）2. Shorts 竖屏 9:16，独立封面3. 简介前 3 行放核心信息 + 引导话术4. 版权音乐、影视片段需授权
Instagram（IG）,Feed 图文 / 视频（常规帖）,4:5 1080×1350（最优）1:1 1080×1080（方形）1.91:1 1080×566（横版）,单帖最多 10 张轮播Feed 视频最长 60min，流量优选≤60s,4GB,画面居中主体，避免上下 UI 遮挡；无独立封面，取视频首帧,正文上限 2200 字符，前 125 字符为信息流预览,单帖最多 30 个标签；分精准 + 泛流量标签，建议 8–15 个,建议内嵌字幕，静音自动播放场景必备,1. 商业帖不能硬广导流，需平台购物标签2. 轮播图统一比例，不要混横竖
,Reels 短视频,9:16 1080×1920,最长 90s，最优 15–30s,4GB,单独制作竖版封面,同 Feed 正文,同 Feed 标签规则,全程硬字幕，字体清晰,对标 TikTok，适合种草、短教程
,Stories 限时动态,9:16 1080×1920,单段 15s，可拼接多段,4GB,无需独立封面，单帧画面干净,单段文字≤125 字符,最多 10 个贴纸标签,简易文字字幕即可,24 小时自动下架，适合实时引流
Facebook（FB）,Feed 图文帖,1.91:1 1200×630（横版最优）；1:1 方形,单帖最多 10 张图片,单图 30MB,横版封面，核心内容居中，避免两侧裁切,正文不限字符，移动端仅显示前 3 行,5–10 个标签，放在文案末尾,视频建议内嵌字幕,1. 公共主页封面 851×315px2. 硬广需走 Meta 广告，自然帖禁止大量导流
,Feed 视频 / Reels,横 16:9 / 竖 9:16 / 方形 1:1,常规视频最长 240min；FB Reels≤90s,10GB,自定义封面，文字不遮挡人物主体,标题≤125 字符，正文同上,同上,商业内容强制配字幕，静音播放友好,长视频适合访谈、品牌纪录片；Reels 对标 IG 短内容
LinkedIn（领英 / B 端职场）,图文帖子,1.91:1 1200×627（横版最优）,单帖最多 9 张图,单图 10MB,简约商务封面，少花哨文字，专业白底,正文上限 1300 字符；标题精炼≤80 字符,3–5 个行业精准标签，拒绝娱乐热门 tag,商务视频必须清晰字幕，字体正式,1. 禁止纯娱乐、夸张营销话术，侧重干货、行业观点2. 头像 400×400 商务照；公司主页背景 1128×19193. 严禁微商式刷屏硬广，重专业价值输出
,短视频 / 直播回放,16:9 横屏 1080P（B 端首选）；少量 9:16 竖屏,最长 10min，企业分享优选 3–6min,5GB,极简商务封面，只放关键词，无花哨装饰,标题突出行业痛点 / 解决方案,仅行业垂直标签 3–5 个,字幕规范严谨，无花体艺术字,适合行业案例、企业科普、职场培训
小红书（国内种草）,图文笔记（主推）,3:4 1080×1440（流量最优）；1:1 方形；4:3 横版,单篇最多 9 张图,单图≤20MB,独立竖版封面 1242×1660，大字标题突出利益点，人像居中,标题≤20 字；正文上限 1000 字，最优 100–600 字,5–15 个标签，精准词靠前，禁止无关蹭流,图文无需字幕，视频必须硬字幕,1. 每日发布上限 5 篇2. 禁用广告法极限词（第一、顶级、100% 见效）3. 笔记不可放站外微信、店铺硬导流
,视频笔记,9:16 竖屏 1080P；支持 3:4/16:9 横版,最短 3s，最长 15min；流量最优 15s–2min,4GB,封面同图文 3:4 尺寸，单独设计，不截取视频帧,同图文字数限制,同图文标签规则,全程内嵌清晰硬字幕，浅色底深色字体,好物测评、沉浸式 vlog、教程流量更好
知乎（国内知识问答）,图文回答 / 专栏文章,配图宽度≥1080px，比例不限（推荐 16:9 横版）,单篇配图无上限，建议≤15 张,单图 20MB,文章封面 16:9 1280×720，干货风简约设计,问题回答无上限；专栏标题≤30 字，正文建议 1000–3000 字,3–8 个话题标签，匹配问题领域，禁止娱乐无关 tag,知识类视频必须完整字幕，方便文字提取,1. 内容侧重逻辑干货、客观论证，拒绝夸张种草2. 广告内容必须标注「商业合作 / 付费推广」3. 不能发硬广软文，需结合问答场景输出价值
,视频回答,16:9 横屏 1080P 为主，少量 9:16 竖屏,最长 30min，知识讲解优选 5–15min,5GB,横版干货封面，文字讲清核心知识点,视频简介≤300 字,绑定对应问题话题标签,字幕完整覆盖全部口述内容,适合深度科普、实操教学、行业拆解
